data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,location_2
1366212,566,NIG11615,11615,31 December 2017,2017,1,Riots/Protests,Rioters (Nigeria),Christian Group (Nigeria),5,55,Western Africa,Nigeria,Kwara,Ilorin East,,Illorin,8.5,4.55,1,Vanguard (Lagos),National,Christians and Muslims clash at the New Year's carnival in Taiwo area of Ilorin. Several serious injuries reported. A number of arrests were made the following day.,0,1524053831,NGA,POINT(4.55 8.5)
1366212,566,NIG11615,11615,31 December 2017,2017,1,Riots/Protests,Rioters (Nigeria),Muslim Group (Nigeria),5,55,Western Africa,Nigeria,Kwara,Ilorin East,,Illorin,8.5,4.55,1,Vanguard (Lagos),National,Christians and Muslims clash at the New Year's carnival in Taiwo area of Ilorin. Several serious injuries reported. A number of arrests were made the following day.,0,1524053831,NGA,POINT(4.55 8.5)
1366213,566,NIG11631,11631,31 December 2017,2017,1,Battle-No change of territory,Military Forces of Nigeria (2015-),,1,12,Western Africa,Nigeria,Borno,Abadam,,Kanama,13.2909,13.3437,1,Telegram,Other,"Islamic State claims to have attack a state military barracks at Kanama on 31/12. IS claimed soldiers dead (numbers not known; coded as ten), as well as weapons seized. Two Islamic State members killed.",8,1524053831,NGA,POINT(13.3437 13.2909)
1366213,566,NIG11631,11631,31 December 2017,2017,1,Battle-No change of territory,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Nigeria,Borno,Abadam,,Kanama,13.2909,13.3437,1,Telegram,Other,"Islamic State claims to have attack a state military barracks at Kanama on 31/12. IS claimed soldiers dead (numbers not known; coded as ten), as well as weapons seized. Two Islamic State members killed.",8,1524053831,NGA,POINT(13.3437 13.2909)
1366371,566,NIG11581,11581,30 December 2017,2017,2,Violence against civilians,Unidentified Armed Group (Nigeria),,3,37,Western Africa,Nigeria,Adamawa,Michika,,Kamale,10.6264,13.5423,1,The Sun (Nigeria),National,"Four people are killed at Kamale village in Michika Local Government Area of the state. The MP representing Michika/Madagali Federal Constituency, Adamu Kamale, narrowly escaped the attack. It is not known if the politician was the target. Perpetrators not known. The event took place on or before 30/12.",4,1524053831,NGA,POINT(13.5423 10.6264)
1366371,566,NIG11581,11581,30 December 2017,2017,2,Violence against civilians,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Adamawa,Michika,,Kamale,10.6264,13.5423,1,The Sun (Nigeria),National,"Four people are killed at Kamale village in Michika Local Government Area of the state. The MP representing Michika/Madagali Federal Constituency, Adamu Kamale, narrowly escaped the attack. It is not known if the politician was the target. Perpetrators not known. The event took place on or before 30/12.",4,1524053831,NGA,POINT(13.5423 10.6264)
1366379,566,NIG11611,11611,30 December 2017,2017,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),,4,44,Western Africa,Nigeria,Taraba,Lau,,Minda,9.05,11.3167,1,Vanguard (Lagos),National,Four are dead during a clash between Fulanis and a group of farmers in Minda.,4,1524053831,NGA,POINT(11.3167 9.05)
1366379,566,NIG11611,11611,30 December 2017,2017,1,Battle-No change of territory,Unidentified Communal Militia (Nigeria),,4,44,Western Africa,Nigeria,Taraba,Lau,,Minda,9.05,11.3167,1,Vanguard (Lagos),National,Four are dead during a clash between Fulanis and a group of farmers in Minda.,4,1524053831,NGA,POINT(11.3167 9.05)
1366370,566,NIG11523,11523,30 December 2017,2017,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,27,Western Africa,Nigeria,Borno,Damboa,,Damboa,11.156,12.7576,2,Daily Trust (Abuja),National,"Boko Haram attacked civilians along the Maiduguri-Damboa road. ""Dozens killed.""",12,1524053831,NGA,POINT(12.7576 11.156)
1366370,566,NIG11523,11523,30 December 2017,2017,1,Violence against civilians,Civilians (Nigeria),,7,27,Western Africa,Nigeria,Borno,Damboa,,Damboa,11.156,12.7576,2,Daily Trust (Abuja),National,"Boko Haram attacked civilians along the Maiduguri-Damboa road. ""Dozens killed.""",12,1524053831,NGA,POINT(12.7576 11.156)
1366372,566,NIG11518,11518,30 December 2017,2017,1,Remote violence,Military Forces of Nigeria (2015-),,1,12,Western Africa,Nigeria,Yobe,Jakusko,,Katamma,12.5639,10.9274,1,Daily Trust (Abuja),National,"Boko Haram attacked military and civilian locations at Katamma, Yobe. Losses not yet evaluated. Nigerian air forces launched an air attack against the perpetrators following the initial attack which killed ""all of them"" - numbers not known. This occurred following a successful defence of the town by ground forces.",10,1524053831,NGA,POINT(10.9274 12.5639)
1366372,566,NIG11518,11518,30 December 2017,2017,1,Remote violence,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Nigeria,Yobe,Jakusko,,Katamma,12.5639,10.9274,1,Daily Trust (Abuja),National,"Boko Haram attacked military and civilian locations at Katamma, Yobe. Losses not yet evaluated. Nigerian air forces launched an air attack against the perpetrators following the initial attack which killed ""all of them"" - numbers not known. This occurred following a successful defence of the town by ground forces.",10,1524053831,NGA,POINT(10.9274 12.5639)
1366373,566,NIG11526,11526,30 December 2017,2017,1,Battle-No change of territory,Military Forces of Nigeria (2015-),,1,12,Western Africa,Nigeria,Yobe,Jakusko,,Katamma,12.5639,10.9274,1,Daynille; The Guardian (Lagos),National,"Boko Haram attacked military and civilian locations at Katamma, Yobe. Five reported military deaths, several others missing. Nigerian air forces launched an air attack against the perpetrators following the initial attack which killed ""all of them"" - numbers not known. This occurred following a successful defence of the town by ground forces.",0,1524053831,NGA,POINT(10.9274 12.5639)
1366373,566,NIG11526,11526,30 December 2017,2017,1,Battle-No change of territory,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Nigeria,Yobe,Jakusko,,Katamma,12.5639,10.9274,1,Daynille; The Guardian (Lagos),National,"Boko Haram attacked military and civilian locations at Katamma, Yobe. Five reported military deaths, several others missing. Nigerian air forces launched an air attack against the perpetrators following the initial attack which killed ""all of them"" - numbers not known. This occurred following a successful defence of the town by ground forces.",0,1524053831,NGA,POINT(10.9274 12.5639)
1366374,566,NIG11527,11527,30 December 2017,2017,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,27,Western Africa,Nigeria,Yobe,Jakusko,,Katamma,12.5639,10.9274,1,Daynille; The Guardian (Lagos),National,"Boko Haram attacked military and civilian locations at Katamma, Yobe. Five reported military deaths, several others missing. Nigerian air forces launched an air attack against the perpetrators following the initial attack which killed ""all of them"" - numbers not known. This occurred following a successful defence of the town by ground forces.",5,1524053831,NGA,POINT(10.9274 12.5639)
1366374,566,NIG11527,11527,30 December 2017,2017,1,Violence against civilians,Civilians (Nigeria),,7,27,Western Africa,Nigeria,Yobe,Jakusko,,Katamma,12.5639,10.9274,1,Daynille; The Guardian (Lagos),National,"Boko Haram attacked military and civilian locations at Katamma, Yobe. Five reported military deaths, several others missing. Nigerian air forces launched an air attack against the perpetrators following the initial attack which killed ""all of them"" - numbers not known. This occurred following a successful defence of the town by ground forces.",5,1524053831,NGA,POINT(10.9274 12.5639)
1366377,566,NIG11524,11524,30 December 2017,2017,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,27,Western Africa,Nigeria,Borno,Mafa,,Mafa,12.1,13.7,2,Daily Trust (Abuja),National,"Boko Haram forces attack several civilian locations in Mafa LGA (also in conjunction with an attack in Marawa) killing ""no less than 50 [total]."" (Coded as 46, subtracting from events at Marawa)",46,1524053831,NGA,POINT(13.7 12.1)
1366377,566,NIG11524,11524,30 December 2017,2017,1,Violence against civilians,Civilians (Nigeria),,7,27,Western Africa,Nigeria,Borno,Mafa,,Mafa,12.1,13.7,2,Daily Trust (Abuja),National,"Boko Haram forces attack several civilian locations in Mafa LGA (also in conjunction with an attack in Marawa) killing ""no less than 50 [total]."" (Coded as 46, subtracting from events at Marawa)",46,1524053831,NGA,POINT(13.7 12.1)
1366378,566,NIG11528,11528,30 December 2017,2017,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,27,Western Africa,Nigeria,Borno,Nganzai,,Marawa,12.2972,13.1253,1,Daynille,Subnational,"Boko Haram forces attack Marawa (Maiwa) village, north of Maiduguri, killing four. Boko Haram forces attacked several locations in the area, including in Mafa LGA, killing ""no less than 50"" total.",0,1524053831,NGA,POINT(13.1253 12.2972)
1366378,566,NIG11528,11528,30 December 2017,2017,1,Violence against civilians,Civilians (Nigeria),,7,27,Western Africa,Nigeria,Borno,Nganzai,,Marawa,12.2972,13.1253,1,Daynille,Subnational,"Boko Haram forces attack Marawa (Maiwa) village, north of Maiduguri, killing four. Boko Haram forces attacked several locations in the area, including in Mafa LGA, killing ""no less than 50"" total.",0,1524053831,NGA,POINT(13.1253 12.2972)
1366380,566,NIG11620,11620,30 December 2017,2017,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,37,Western Africa,Nigeria,Taraba,Takum,,Takum,7.2667,9.9833,1,Vanguard (Lagos),National,Unknown gunmen kidnapped a member of the Taraba state House of Assembly representing Takum. The politician was abducted on Saturday at about 8 45pm in his house in Takum.,0,1524053831,NGA,POINT(9.9833 7.2667)
1366380,566,NIG11620,11620,30 December 2017,2017,1,Violence against civilians,Civilians (Nigeria),Government of Nigeria (2015-),7,37,Western Africa,Nigeria,Taraba,Takum,,Takum,7.2667,9.9833,1,Vanguard (Lagos),National,Unknown gunmen kidnapped a member of the Taraba state House of Assembly representing Takum. The politician was abducted on Saturday at about 8 45pm in his house in Takum.,0,1524053831,NGA,POINT(9.9833 7.2667)
